id,age,color,latitude,longitude,date,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
37F-PM-1014-03,,,40.794082388408600,-73.956134493786100,2018-10-14,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
37E-PM-1006-03,Adult,Gray,40.794850940803900,-73.957043771769100,2018-10-06,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
2E-AM-1010-03,Adult,Cinnamon,40.766717807255800,-73.976831175100400,2018-10-10,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
5D-PM-1018-05,Juvenile,Gray,40.769703260675500,-73.975724983414100,2018-10-18,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
39B-AM-1018-01,,,40.797533370163000,-73.959312669571400,2018-10-18,Above Ground,,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
33H-AM-1019-02,Juvenile,Gray,40.790256100093700,-73.956570038616200,2018-10-19,Ground Plane,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
6G-PM-1020-02,Adult,Gray,40.769304513357800,-73.971973558247600,2018-10-20,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,True,False
35C-PM-1013-03,,Gray,40.794288304556600,-73.960260992081400,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
7B-AM-1008-09,Adult,Gray,40.772975239143500,-73.977071858675400,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-14,Adult,Gray,40.790312888902900,-73.959641390394800,2018-10-17,,,False,False,False,True,True,,False,False,False,False,False,False,False,True
13E-AM-1017-05,Adult,Gray,40.776212685489400,-73.970267647261300,2018-10-17,Above Ground,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False
11H-AM-1010-03,Adult,Cinnamon,40.772590884749900,-73.968361351622500,2018-10-10,,,False,False,False,False,True,,False,False,False,False,True,False,True,False
36H-AM-1010-02,Adult,Gray,40.793181170108200,-73.954120178979500,2018-10-10,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
33F-AM-1008-02,Adult,Gray,40.791736782025500,-73.958269431228900,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
21C-PM-1006-01,Adult,Gray,40.782972391974400,-73.967428595529300,2018-10-06,Ground Plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False
11D-AM-1010-03,Adult,Gray,40.774287959902600,-73.972250019684400,2018-10-10,Above Ground,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False
20B-PM-1013-05,Adult,Gray,40.782350767818300,-73.969506353533300,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-01,Adult,Gray,40.791966973996200,-73.953217050486500,2018-10-07,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5C-PM-1010-09,Adult,Cinnamon,40.770279590496200,-73.976860363067400,2018-10-10,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
7H-AM-1006-05,Adult,Gray,40.769812482150700,-73.970610589696700,2018-10-06,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False
16C-PM-1018-03,Adult,Gray,40.778752613032100,-73.970378172617200,2018-10-18,Above Ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False
14E-AM-1008-23,Adult,Gray,40.776503200499200,-73.970392521047100,2018-10-08,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
32A-PM-1013-03,Juvenile,Gray,40.792417326390400,-73.963817943974700,2018-10-13,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
33F-AM-1008-01,Adult,Gray,40.791381249055700,-73.958407097473400,2018-10-08,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False
17F-AM-1007-07,Adult,Gray,40.778485970017100,-73.967113068011400,2018-10-07,Above Ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False
16I-AM-1008-01,Adult,Cinnamon,40.776492969445700,-73.964986601603800,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
12I-AM-1013-01,Adult,Cinnamon,40.773499142094100,-73.967062855816100,2018-10-13,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True
32F-PM-1008-07,Adult,Gray,40.790852437062600,-73.958736593111000,2018-10-08,Ground Plane,,True,True,False,False,True,,False,False,False,False,False,False,True,False
25A-AM-1013-04,,Gray,40.786735279123200,-73.967178671525600,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
15E-AM-1013-01,Adult,Gray,40.776953610248800,-73.969294329161100,2018-10-13,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
39G-PM-1013-06,Adult,Gray,40.795244599983600,-73.954005410053900,2018-10-13,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
29I-PM-1007-01,,Gray,40.786865949039700,-73.957653015725500,2018-10-07,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
7E-AM-1006-02,Adult,Gray,40.771184689416600,-73.973803325747300,2018-10-06,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False
17C-PM-1013-05,Adult,Gray,40.779896562120300,-73.970440268101700,2018-10-13,Ground Plane,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
10A-PM-1014-01,Adult,Gray,40.775389733191800,-73.975697607670700,2018-10-14,Ground Plane,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False
